Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,ID,Item_Outlet_Sales
9.3,Low Fat,0.016047301,Dairy,249.8092,1999,Medium,Tier 1,Supermarket Type1,FDA15OUT049,3735.138
5.92,Regular,0.019278216,Soft Drinks,48.2692,2009,Medium,Tier 3,Supermarket Type2,DRC01OUT018,443.4228
17.5,Low Fat,0.016760075,Meat,141.618,1999,Medium,Tier 1,Supermarket Type1,FDN15OUT049,2097.27
19.2,Regular,0,Fruits and Vegetables,182.095,1998,,Tier 3,Grocery Store,FDX07OUT010,732.38
8.93,Low Fat,0,Household,53.8614,1987,High,Tier 3,Supermarket Type1,NCD19OUT013,994.7052
10.395,Regular,0,Baking Goods,51.4008,2009,Medium,Tier 3,Supermarket Type2,FDP36OUT018,556.6088
13.65,Regular,0.012741089,Snack Foods,57.6588,1987,High,Tier 3,Supermarket Type1,FDO10OUT013,343.5528
,Low Fat,0.127469857,Snack Foods,107.7622,1985,Medium,Tier 3,Supermarket Type3,FDP10OUT027,4022.7636
16.2,Regular,0.016687114,Frozen Foods,96.9726,2002,,Tier 2,Supermarket Type1,FDH17OUT045,1076.5986
19.2,Regular,0.09444959,Frozen Foods,187.8214,2007,,Tier 2,Supermarket Type1,FDU28OUT017,4710.535
11.8,Low Fat,0,Fruits and Vegetables,45.5402,1999,Medium,Tier 1,Supermarket Type1,FDY07OUT049,1516.0266
18.5,Regular,0.045463773,Dairy,144.1102,1997,Small,Tier 1,Supermarket Type1,FDA03OUT046,2187.153
15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,1999,Medium,Tier 1,Supermarket Type1,FDX32OUT049,1589.2646
17.6,Regular,0.047257328,Snack Foods,119.6782,1997,Small,Tier 1,Supermarket Type1,FDS46OUT046,2145.2076
16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,1987,High,Tier 3,Supermarket Type1,FDF32OUT013,1977.426
9,Regular,0.069088961,Breakfast,56.3614,1997,Small,Tier 1,Supermarket Type1,FDP49OUT046,1547.3192
11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,2009,Medium,Tier 3,Supermarket Type2,NCB42OUT018,1621.8888
9,Regular,0.069196376,Breakfast,54.3614,1999,Medium,Tier 1,Supermarket Type1,FDP49OUT049,718.3982
,Low Fat,0.034237682,Hard Drinks,113.2834,1985,Medium,Tier 3,Supermarket Type3,DRI11OUT027,2303.668
13.35,Low Fat,0.10249212,Dairy,230.5352,2004,Small,Tier 2,Supermarket Type1,FDU02OUT035,2748.4224
18.85,Regular,0.138190277,Snack Foods,250.8724,1987,High,Tier 3,Supermarket Type1,FDN22OUT013,3775.086
,Regular,0.035399923,Baking Goods,144.5444,1985,Medium,Tier 3,Supermarket Type3,FDW12OUT027,4064.0432
14.6,Low Fat,0.025698134,Household,196.5084,2004,Small,Tier 2,Supermarket Type1,NCB30OUT035,1587.2672
,Low Fat,0.057556998,Baking Goods,107.6938,1985,Small,Tier 1,Grocery Store,FDC37OUT019,214.3876
13.85,Regular,0.025896485,Frozen Foods,165.021,1997,Small,Tier 1,Supermarket Type1,FDR28OUT046,4078.025
13,Low Fat,0.099887103,Household,45.906,2007,,Tier 2,Supermarket Type1,NCD06OUT017,838.908
7.645,Regular,0.066693437,Snack Foods,42.3112,2004,Small,Tier 2,Supermarket Type1,FDV10OUT035,1065.28
11.65,low fat,0.019356132,Hard Drinks,39.1164,1987,High,Tier 3,Supermarket Type1,DRJ59OUT013,308.9312
